strategies,memory,threshold,distribution,choice,crosses,std
18,2,6000.0,uniform,mse,False,4663.133519664885
10,2,6000.0,uniform,mse,False,4347.765121939726
19,2,6000.0,uniform,mse,False,4677.982779883749
11,2,6000.0,uniform,mse,False,4453.358582762752
20,2,6000.0,uniform,mse,False,4680.575486934154
12,2,6000.0,uniform,mse,False,4493.663761342185
21,2,6000.0,uniform,mse,False,4690.946386391556
13,2,6000.0,uniform,mse,False,4558.482886029323
22,2,6000.0,uniform,mse,False,4691.417790912347
14,2,6000.0,uniform,mse,False,4584.880369213574
23,2,6000.0,uniform,mse,False,4694.717622557884
15,2,6000.0,uniform,mse,False,4612.221831419453
16,2,6000.0,uniform,mse,False,4632.727946061826
17,2,6000.0,uniform,mse,False,4660.540812681149
28,2,6000.0,uniform,mse,False,4707.9169491400335
24,2,6000.0,uniform,mse,False,4703.674308452914
25,2,6000.0,uniform,mse,False,4708.388353660825
29,2,6000.0,uniform,mse,False,4711.21678078557
30,2,6000.0,uniform,mse,False,4710.745376264779
26,2,6000.0,uniform,mse,False,4704.1457129737055
31,2,6000.0,uniform,mse,False,4712.630994347944
27,2,6000.0,uniform,mse,False,4707.9169491400335
2,2,6000.0,uniform,mse,False,1.699673171197595
18,3,6000.0,uniform,mse,False,4159.959637724866
10,2,6000.0,uniform,choice,False,3316.1670947043667
10,3,6000.0,uniform,mse,False,3589.428436394853
28,3,6000.0,uniform,mse,False,4279.320915752872
18,2,6000.0,uniform,choice,False,3808.827408218965
24,3,6000.0,uniform,mse,False,4251.904308659827
3,2,6000.0,uniform,mse,False,140.37125774174712
24,2,6000.0,uniform,choice,False,4046.4247972747494
4,2,6000.0,uniform,mse,False,2246.887180078252
19,3,6000.0,uniform,mse,False,4177.677268456121
2,2,6000.0,uniform,choice,False,2.7726341266023544
11,3,6000.0,uniform,mse,False,3759.02974464073
5,2,6000.0,uniform,mse,False,2798.7916440254476
28,2,6000.0,uniform,choice,False,4166.684586094801
6,2,6000.0,uniform,mse,False,3417.211371214189
29,3,6000.0,uniform,mse,False,4287.259461182633
7,2,6000.0,uniform,mse,False,3821.467461009652
25,3,6000.0,uniform,mse,False,4259.563086456168
8,2,6000.0,uniform,mse,False,4066.572758478569
9,2,6000.0,uniform,mse,False,4208.699640823359
2,3,6000.0,uniform,mse,False,0.4714045207910317
20,3,6000.0,uniform,mse,False,4199.693500721213
12,3,6000.0,uniform,mse,False,3844.8524658788924
11,2,6000.0,uniform,choice,False,3397.9077732628352
30,3,6000.0,uniform,mse,False,4294.921477745548
26,3,6000.0,uniform,mse,False,4270.3761836634485
3,3,6000.0,uniform,mse,False,1.7853571071357126
3,2,6000.0,uniform,choice,False,1659.453449301908
19,2,6000.0,uniform,choice,False,3850.427315714452
32,2,6000.0,uniform,mse,False,4709.331162702407
33,2,6000.0,uniform,mse,False,4712.630994347944
34,2,6000.0,uniform,mse,False,4712.630994347944
13,3,6000.0,uniform,mse,False,3926.840547755918
35,2,6000.0,uniform,mse,False,4713.102398868735
31,3,6000.0,uniform,mse,False,4300.250072670193
21,3,6000.0,uniform,mse,False,4224.1926151632815
4,3,6000.0,uniform,mse,False,229.49807929479496
27,3,6000.0,uniform,mse,False,4277.87830004548
29,2,6000.0,uniform,choice,False,4189.400976941692
36,2,6000.0,uniform,mse,False,4712.159589827153
25,2,6000.0,uniform,choice,False,4072.08317027047
37,2,6000.0,uniform,mse,True,4714.045207910317
38,2,6000.0,uniform,mse,True,4714.045207910317
39,2,6000.0,uniform,mse,True,4714.045207910317
5,3,6000.0,uniform,mse,False,1601.1264035047327
14,3,6000.0,uniform,mse,False,4008.2088502846254
40,2,6000.0,uniform,mse,False,4713.573803389526
32,3,6000.0,uniform,mse,False,4303.000406692986
41,2,6000.0,uniform,mse,True,4714.045207910317
28,4,6000.0,uniform,mse,False,3518.713641375212
4,2,6000.0,uniform,choice,False,2135.5194193450925
42,2,6000.0,uniform,mse,True,4714.045207910317
12,2,6000.0,uniform,choice,False,3451.444946337693
22,3,6000.0,uniform,mse,False,4235.807447745353
43,2,6000.0,uniform,mse,True,4714.045207910317
24,4,6000.0,uniform,mse,False,3269.7105476784945
44,2,6000.0,uniform,mse,True,4714.045207910317
6,3,6000.0,uniform,mse,False,2347.015218442352
36,3,6000.0,uniform,mse,True,4313.096596414228
45,2,6000.0,uniform,mse,False,4713.573803389526
46,2,6000.0,uniform,mse,False,4713.573803389526
20,2,6000.0,uniform,choice,False,3882.165427953837
32,2,6000.0,uniform,choice,False,4257.086983560472
15,3,6000.0,uniform,mse,False,4035.9326292072815
47,2,6000.0,uniform,mse,True,4714.045207910317
48,2,6000.0,uniform,mse,True,4714.045207910317
33,3,6000.0,uniform,mse,False,4301.1167953800095
49,2,6000.0,uniform,mse,True,4714.045207910317
29,4,6000.0,uniform,mse,False,3575.3076298970414
50,2,6000.0,uniform,mse,True,4714.045207910317
23,3,6000.0,uniform,mse,False,4244.392153182833
51,2,6000.0,uniform,mse,True,4714.045207910317
40,3,6000.0,uniform,mse,True,4319.59062730486
25,4,6000.0,uniform,mse,False,3455.114811406417
7,3,6000.0,uniform,mse,False,2793.626512259647
30,2,6000.0,uniform,choice,False,4214.259783164773
26,2,6000.0,uniform,choice,False,4096.690764214453
36,2,6000.0,uniform,choice,False,4339.6444291669795
37,3,6000.0,uniform,mse,False,4310.209536669882
16,3,6000.0,uniform,mse,False,4091.817261315564
52,2,6000.0,uniform,mse,True,4714.045207910317
5,2,6000.0,uniform,choice,False,2544.2509030360984
53,2,6000.0,uniform,mse,True,4714.045207910317
40,2,6000.0,uniform,choice,False,4402.93677760651
44,3,6000.0,uniform,mse,True,4323.054613060076
54,2,6000.0,uniform,mse,True,4714.045207910317
13,2,6000.0,uniform,choice,False,3534.9501659287926
55,2,6000.0,uniform,mse,True,4714.045207910317
34,3,6000.0,uniform,mse,False,4305.446049772311
30,4,6000.0,uniform,mse,False,3445.2523361286617
8,3,6000.0,uniform,mse,False,3160.1066200367354
18,4,6000.0,uniform,mse,False,3147.2883137710787
48,3,6000.0,uniform,mse,True,4325.220832512486
26,4,6000.0,uniform,mse,False,3034.5310518101473
41,3,6000.0,uniform,mse,True,4319.013855905072
44,2,6000.0,uniform,choice,False,4446.832760920968
56,2,6000.0,uniform,mse,True,4714.045207910317
54,3,6000.0,uniform,mse,True,4328.106832091833
17,3,6000.0,uniform,mse,False,4122.305119711543
21,2,6000.0,uniform,choice,False,3927.487211946081
57,2,6000.0,uniform,mse,True,4714.045207910317
38,3,6000.0,uniform,mse,True,4316.848271598157
52,3,6000.0,uniform,mse,True,4326.446432625163
58,2,6000.0,uniform,mse,True,4714.045207910317
9,3,6000.0,uniform,mse,False,2700.817960840752
59,2,6000.0,uniform,mse,True,4714.045207910317
60,2,6000.0,uniform,mse,True,4714.045207910317
45,3,6000.0,uniform,mse,False,4322.478997924686
35,3,6000.0,uniform,mse,False,4309.923607211617
19,4,6000.0,uniform,mse,False,3490.516176670723
33,2,6000.0,uniform,choice,False,4283.619354517859
31,4,6000.0,uniform,mse,False,3563.2208014659996
27,4,6000.0,uniform,mse,False,3407.458371807351
42,3,6000.0,uniform,mse,True,4321.900182500748
49,3,6000.0,uniform,mse,True,4326.085817456699
6,2,6000.0,uniform,choice,False,2771.600541492226
55,3,6000.0,uniform,mse,True,4328.54059557029
48,2,6000.0,uniform,choice,False,4489.641988800444
2,4,6000.0,uniform,mse,False,1.5118578920369088
56,3,6000.0,uniform,mse,True,4327.9620131766405
10,4,6000.0,uniform,mse,False,2478.0916661011556
27,2,6000.0,uniform,choice,False,4131.452596654111
31,2,6000.0,uniform,choice,False,4237.276870821636
39,3,6000.0,uniform,mse,True,4315.118248669438
14,2,6000.0,uniform,choice,False,3594.7172183636367
54,2,6000.0,uniform,choice,False,4545.800332438723
52,2,6000.0,uniform,choice,False,4522.882228004616
58,3,6000.0,uniform,mse,True,4327.3847399439765
37,2,6000.0,uniform,choice,False,4359.441141293228
53,3,6000.0,uniform,mse,True,4327.3847399439765
20,4,6000.0,uniform,mse,False,3222.8528051401913
32,4,6000.0,uniform,mse,False,3526.42103555432
46,3,6000.0,uniform,mse,True,4323.054844377989
28,5,6000.0,uniform,mse,False,3990.2551708380756
41,2,6000.0,uniform,choice,False,4416.937214858278
3,4,6000.0,uniform,mse,False,2.560381915956203
56,2,6000.0,uniform,choice,False,4552.632555741788
54,4,6000.0,uniform,mse,True,3715.6694320673896
24,5,6000.0,uniform,mse,False,3282.1554082035786
57,3,6000.0,uniform,mse,True,4328.684355551927
11,4,6000.0,uniform,mse,False,2533.7454632223817
43,3,6000.0,uniform,mse,True,4321.466938436531
50,3,6000.0,uniform,mse,True,4325.508525017608
22,2,6000.0,uniform,choice,False,3976.578647229299
58,2,6000.0,uniform,choice,False,4569.382655414187
59,3,6000.0,uniform,mse,True,4328.827980816516
36,4,6000.0,uniform,mse,False,3407.9566267779874
45,2,6000.0,uniform,choice,False,4465.013716261127
21,4,6000.0,uniform,mse,False,3242.5763083696274
4,4,6000.0,uniform,mse,False,33.05967936928609
33,4,6000.0,uniform,mse,False,3715.427113859186
29,5,6000.0,uniform,mse,False,3904.933132590109
52,4,6000.0,uniform,mse,True,3734.535028621368
7,2,6000.0,uniform,choice,False,2953.172828264543
47,3,6000.0,uniform,mse,True,4324.065014543607
55,4,6000.0,uniform,mse,False,3851.027303408793
56,4,6000.0,uniform,mse,True,3745.666535558124
12,4,6000.0,uniform,mse,False,2753.6874989003377
34,2,6000.0,uniform,choice,False,4308.494695087834
25,5,6000.0,uniform,mse,False,2805.225913825837
40,4,6000.0,uniform,mse,False,3571.624528082424
15,2,6000.0,uniform,choice,False,3650.882201605524
51,3,6000.0,uniform,mse,True,4326.951727255575
55,2,6000.0,uniform,choice,False,4552.432528835546
60,3,6000.0,uniform,mse,True,4329.117252685586
5,4,6000.0,uniform,mse,False,408.21082592209626
24,3,6000.0,uniform,choice,False,2579.383612881186
49,2,6000.0,uniform,choice,False,4504.326709331817
37,4,6000.0,uniform,mse,False,3864.3736118030824
28,3,6000.0,uniform,choice,False,2576.428037108741
22,4,6000.0,uniform,mse,False,3308.7227254032637
34,4,6000.0,uniform,mse,False,3579.907720821865
54,5,6000.0,uniform,mse,False,3529.307634990183
30,5,6000.0,uniform,mse,False,3397.7374778519898
57,2,6000.0,uniform,choice,False,4565.906754588841
57,4,6000.0,uniform,mse,True,4013.6554692200475
13,4,6000.0,uniform,mse,False,2715.6611715013346
53,2,6000.0,uniform,choice,False,4539.825019359227
38,2,6000.0,uniform,choice,False,4366.26052017055
44,4,6000.0,uniform,mse,False,3928.930969105973
53,4,6000.0,uniform,mse,False,3814.9563785186324
42,2,6000.0,uniform,choice,False,4419.280516102141
6,4,6000.0,uniform,mse,False,999.5063589592615
26,5,6000.0,uniform,mse,False,3493.20205685271
23,2,6000.0,uniform,choice,False,4017.5141582326755
41,4,6000.0,uniform,mse,False,3619.720266595197
58,4,6000.0,uniform,mse,False,3968.1932400527066
59,2,6000.0,uniform,choice,False,4580.321768653377
48,4,6000.0,uniform,mse,False,3746.8907317401186
23,4,6000.0,uniform,mse,False,3442.2482456092557
8,2,6000.0,uniform,choice,False,3043.6062757196437
55,5,6000.0,uniform,mse,False,4350.39688874475
38,4,6000.0,uniform,mse,False,3707.48020461337
14,4,6000.0,uniform,mse,False,2855.8301840970867
56,5,6000.0,uniform,mse,False,3864.538843587938
35,4,6000.0,uniform,mse,False,3412.304116810223
46,2,6000.0,uniform,choice,False,4468.205675839015
31,5,6000.0,uniform,mse,False,2710.698355848544
7,4,6000.0,uniform,mse,False,1867.5636749519413
45,4,6000.0,uniform,mse,False,3678.2462343350535
52,5,6000.0,uniform,mse,False,3542.4944827621116
