strategies,memory,threshold,cf,sigma,std
2,10,6000.0,mse,0.0,0.6803368562614897
2,10,6000.0,mse,0.125,0.655520708724584
2,10,6000.0,mse,0.25,0.4461420286601642
2,10,6000.0,choice,0.0,927.9144457438208
2,10,6000.0,mse,0.375,0.18856180831641267
2,10,6000.0,mse,0.5,0.0
2,10,6000.0,mse,0.625,0.3483219969793495
2,10,6000.0,mse,0.75,0.35758022034375153
2,10,6000.0,choice,0.125,588.7253152975782
2,10,6000.0,mse,0.875,0.3518611245019579
2,10,6000.0,mse,1.0,0.3494438257849294
2,10,6000.0,mse,1.125,0.467331178339883
2,10,6000.0,mse,1.25,0.0
2,10,6000.0,mse,1.375,0.1
2,10,6000.0,choice,0.25,665.0640488532302
2,10,6000.0,mse,1.5,0.18856180831641267
2,10,6000.0,mse,1.625,0.0
2,10,6000.0,mse,1.75,0.8077183787393013
2,10,6000.0,mse,1.875,0.40665141884373757
2,10,6000.0,choice,0.375,555.8840262894857
10,10,6000.0,mse,0.0,115.48095311788174
10,10,6000.0,mse,0.125,41.2293450527401
2,10,6000.0,choice,0.5,429.9867881829826
10,10,6000.0,mse,0.25,13.46501509107531
10,10,6000.0,mse,0.375,3.4432307133497595
2,10,6000.0,choice,0.625,400.0345100800226
10,10,6000.0,mse,0.5,3.732279552931582
10,10,6000.0,mse,0.625,1.5184961550247182
2,10,6000.0,choice,0.75,380.6889915120716
10,10,6000.0,mse,0.75,2.163169966772041
10,10,6000.0,mse,0.875,1.5392820088200625
10,10,6000.0,mse,1.0,2.193910078970168
2,10,6000.0,choice,0.875,293.8001147684857
10,10,6000.0,mse,1.125,1.6802459669173326
10,10,6000.0,mse,1.25,0.6087822517667195
2,10,6000.0,choice,1.0,327.6942183325194
10,10,6000.0,mse,1.375,1.0714251808774204
2,10,6000.0,choice,1.125,134.9103078725534
10,10,6000.0,mse,1.5,1.5358632016190137
10,10,6000.0,mse,1.625,1.4541340068728401
2,10,6000.0,choice,1.25,133.87656511630186
10,10,6000.0,mse,1.75,0.7595527234388305
2,10,6000.0,choice,1.375,58.131766033918346
10,10,6000.0,mse,1.875,1.352086356443278
2,10,6000.0,choice,1.5,0.09428090415820634
18,10,6000.0,mse,0.0,552.3919224941183
